Filtered_message,Decision
"Distance system was adapted to previous inspection project No. 4-7005-11836.
Pipe magnetization during run was out of spec. for 67.35% of pipeline length, min. value is 16.69 kA/m, max. value is 92.57 kA/m, avg. value is 30.1 kA/m.
5 of 5 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12069.
Distance system from previous inspection was shifted on +0.07 m to set launcher first valve to zero.
Launcher and receiver areas were modified.
Pipe magnetization during the run was out of spec. for 81.83% of pipeline length, min. value is 3.39 kA/m, max. value is 93.42 kA/m, avg. value is 31.12 kA/m.
3 of 3 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12069.
Distance system from previous inspection was shifted on +0.018 m to set launcher first valve to zero.
Launcher and receiver areas were modified.
4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12069.
Distance system from previous inspection was shifted on +0.016 m to set launcher first valve to zero.
Launcher and receiver areas were modified.
4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
Since prev. inspection one joint was replaced at dist. 44-46 m.
4 of 5 AGM markers were recorded, due to malfunction AGM No. 1 (BM7 4087) was not recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
Tool was equipped with DXD3 sensors.
3 of 3 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
3 of 3 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12096. Since prev. inspection one joint was replaced at dist.623-625 m.
Tool velocity was out of spec. for 1.32% of p/l length due to speed jumps during run, max. value is 3.85 m/s and avg. value is 1.83 m/s (max. allow tool velocity is 2.43m/s).
4 of 5 AGM markers were recorded, AGM No. 1 (BM7 4087) was not recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11651.
Distance system from previous inspection was shifted on -0.216 m to set launcher first valve to zero.
Launcher and receiver areas were modified.
2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
3 of 3 AGM markers were recorded.",1
"Launcher first valve was set to zero.
7 of 7 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11746.
Slight ODO slippages were observed after 2,3 km of the current run.
Dist.Corr. deviation on ODO slippages area was up to 5,5%.
6 of 6 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11746.
The tool was moving in &quot;stop and go&quot; mode with &quot;speed jumps&quot; and tool vibrations.
Data quality is reduced in &quot;speed affected&quot; areas. Feature sizing might be affected.
5 of 5 AGM markers were recorded.",1
"ODO slippages occurred during the run.
Recorded line length is 2363.5 m - 93.9%. Run was processed in Time Mode. Features sizing might be affected.
Distance system was adapted to previous inspection project no. 4-7005-12096.
4 of 4 AGM markers were recorded.",0
"Launcher first valve was set to zero.
ODO slippages occurred during the run. Recorded line length is 3370 m (93.8% of line length from EOF 3592 m).
Run was processed in Time mode. Features sizing might be affected.
5 of 5 AGM markers were recorded.",0
"Launcher first valve was set to zero.
Recorded line length is 4775 m, line length from EOF is 4490 m.
7 of 7 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11651.
Distance system from previous inspection was shifted on -0.477 m to set launcher first valve to zero.
Launcher and receiver areas were modified.
2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11651. 
Distance system from previous inspection was shifted on -0.214 m to set launcher first valve to zero.
Launcher and receiver areas were modified.  
Tool velocity was out of spec. for 5.63% of p/l length due to speed jumps during the run, max. value is 3.52 m/s and avg. value is 1.73 m/s (max. allow tool velocity is 2.85m/s).
Tool full rotation has not occurred during the run.
High values of gyro and accelerometer tolerances were observed during the run (&gt;0.15rad/sec for 2.75% p/l length&gt;10.5m/s*s for 0.23% of p/l length).
4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11746.
5 of 5 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11746.
6 of 6 AGM markers were recorded.",1
"Line length in EOF is 1954 m, recorded line length is 1777 m, recorded line length from previous inspection is 1774 m.
Distance system was adapted to previous inspection project No. 4-7005-11836.
3 of 3 AGM markers were recorded.",1
"Launcher first valve was set to zero.
5 of 5 AGM markers were recorded.",1
"Distance system was adapted to prev. inspection project no. 4-7005-12096.
6 of 6 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12444

Between 9320 m and 9410 m there are areas with a maximum number of adjacent channel losses of more than 5 channels, however, PEH sensor loss is only 0.27%.

10 of 10 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12301

The tool speed is within specifications, but has high fluctuations due to ""Stop&Go"". Features sizing might be affected.

9 of 9 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

2 of 2 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12444, since previous inspection several joints were replaced.

4 of 4 AGM markers were recorded",1
"Launcher first valve was set to zero.

Recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12543.

3 of 3 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.

Since previous inspection the receiver area was modified.

3 of 3 AGM markers were recorded.",1
"Launcher first valve was set to zero.

Speed jumps and minor ODO slippages for full line length were observed due to high tool velocity fluctuations.

Recorded",0
"Distance system was adapted to previous inspection project No. 4-7005-12301

The tool speed is within specifications, but have high fluctuations due to ""Stop&Go"". Features sizing might be affected.

3 of 3 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.

Tool velocity was out of spec. for 29.8% of p/l length due to speed jumps during run, max. value is 3.45 m/s and avg. value is 2.55 m/s (max. allow tool velocity is 3m/s).

2 of 2 AGM markers were recorded",0
"Distance system was adapted to previous inspection project No. 4-7005-12301

2 of 4 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

Tool velocity was out of spec. for 92.76% of p/l length, max. value is 4.28 m/s and avg. value is 3.24 m/s (max. allow tool velocity for TCO is 3m/s).

3 of 5 AGM markers were recorded",0
"Distance system was adapted to previous inspection project No. 4-7005-12301

6 of 6 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

5 of 5 AGM markers were recorded",1
"Launcher first valve was set to zero.

Recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

4 of 5 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

5 of 5 AGM markers were recorded",1
"Launcher first valve was set to zero.

Recorded",1
"Launcher first valve was set to zero.

Speed jumps and minor ODO slippages for full line length were observed due to variable velocity.

Recorded",0
"Distance system was adapted to CDP2

Combination of R1 and R2 is needed for data evaluation.

The tool speed is within specifications, but have fluctuations due to ""Stop&Go"". Features sizing might be affected.

LRC sensor lift off >4.5 mm was observed for 6.88% of p/l length

3 of 3 AGM markers were recorded",0
"Distance system was adapted to previous inspection project No. 4-7005-12444

Combination of R1 and R2 is needed for data evaluation.

The tool speed is within specifications, but have high fluctuations due to ""Stop&Go"". Features sizing might be affected.

3 of 3 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.

7 of 7 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.

3 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.

LRC sensor lift off >4.5 mm was observed for 6.17% of p/l length.

2 of 3 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

3 of 3 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12352

Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 0.002 m to set launcher first valve to zero.

2 of 2 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12444

The tool speed and pipe magnetization are within specifications, but have fluctuations that can lead to possible loss of external features.

Feature search results should be verified by the EVA team.

6 of 6 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12444

6 of 6 AGM markers were recorded",1
"Launcher first valve was set to zero.

8 of 8 AGM markers were recorded.",1
"Launcher first valve was set to zero.

6 of 6 AGM markers were recorded.",1
"Launcher first valve was set to zero.

3 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12543

5 of 5 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12444, since previous inspection several joints were replaced.

5 of 5 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12444, since previous inspection several joints were replaced.

5 of 5 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

2 of 2 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.

IRC sensor loss is 4.94 % (max. allowance for TCO is 3.0 %).

4 of 4 AGM markers were recorded.",0
"Launcher first valve was set to zero.

5 of 5 AGM markers were recorded.",1
"Launcher first valve was set to zero.

Current inspection 4-7005-12602 was set as master in distance adaptation due to a rerouting in first 149 m of pipeline after previous inspection 4-7005-11746 (ex-06T14MS5).

Additionally, since previous inspection several joints were replaced, and receiver area was also modified. 

2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

5 of 5 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

5 of 5 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.

The tool speed is within specifications but has high fluctuations due to ""Stop&Go"" in the first 200 m of the distance. Features sizing might be affected.

3 of 3 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12543.

3 of 3 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12444

3 of 3 AGM markers were recorded.",1
"Launcher first valve was set to zero.

4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12352.

Launcher and receiver areas were modified. Distance system from previous inspection was shifted on +1.38 m to set launcher first valve to zero.

4 of 4 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12352.

Launcher and receiver areas were modified: Distance system from previous inspection was shifted on -0.415 m to set launcher first valve to zero.

Tool velocity was out of spec. for 7.48% of p/l length due to speed jumps at first 200 m of the pipeline, max. value is 5.04 m/s and avg. value is 1.98 m/s. Features sizing might be affected.

4 of 4 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12352.

Launcher and receiver areas were modified: Distance system from previous inspection was shifted on -0.170 m to set launcher first valve to zero.

Tool velocity was out of spec. for 5.33% of p/l length due to speed jumps during run, max. value is 5.84 m/s and avg. value is 1.57 m/s.

Features sizing might be affected.

4 of 4 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12365

Launcher and receiver areas were modified. Distance system from previous inspection was shifted on +1.21 m to set launcher first valve to zero.

7 of 7 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301

Combination of R1 and R2 is needed for data evaluation.

Tool velocity was out of spec. for 16.95% of p/l length due to speed jumps during run, max. value is 4.41 m/s and avg. value is 2.24 m/s

4 of 4 AGM markers were recorded.",1
"Distance system was adapted to CDP2

Additionally, since previous inspection several joints were replaced.

Combination of R1 and R2 is needed for data evaluation. 

Tool velocity was out of spec. for 36.59% of p/l length due to speed jumps during run, max. value is 4.39 m/s and avg. value is 2.62 m/s

4 of 4 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-11180, since previous inspection several joints were replaced.
8 of 8 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.
2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.
6 of 6 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12096.
5 of 5 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on +1.021 m to set launcher first valve to zero.
2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301 (1CD rs_refr), since previous inspection some joints were replaced.
7 of 7 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301
Pipe magnetization during run was out of spec. for 63.98% of pipeline, min. value is 7.88 kA/m, max. value is 12.69 kA/m, avg. value is 9.74 kA/m.
High deviation of calc. WT was observed (min. calc. WT is 12 mm, max. calc. WT is 16.0 mm; Nom. WT from EOF is 11.62 mm).
10 of 10 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.
Pipe magnetization during run was out of spec. for 60.1% of pipeline, min. value is 7.64 kA/m, max. value is 16.13 kA/m, avg. value is 9.98 kA/m.
High deviation of calc. WT was observed (min. calc. WT is 12 mm, max. calc. WT is 16.0 mm; Nom. WT from EOF is 11.62 mm).
10 of 10 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12444
6 of 6 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-11836.
60 of 62 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301
8 of 8 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection some joints were replaced.
10 of 10 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 1.882 m to set launcher first valve to zero.
2 of 2 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 0.175 m to set launcher first valve to zero.
2 of 2 AGM markers were recorded",1
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced
6 of 6 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12096.
7 of 7 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection one weld section was replaced.
Pipe magnetization during run was out of spec. for 93.04% of pipeline, min. value is 20 kA/m, max. value is 34.09 kA/m, avg. value is 31.3 kA/m.
8 of 8 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12096.
5 of 5 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.
7 of 7 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301.
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12444.
7 of 7 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12444.
Since previous inspection several joints were replaced.
10 of 10 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301.
Since previous inspection launcher and receiver areas were modified.
PEH sensor loss is 3.03 %, IRC sensor loss is 4.15 % (max. allowance for TCO is 3.0 % for both channels).
19 of 19 AGM markers were recorded.",0
,1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.
11 of 11 AGM markers were recorded.",1
,1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to prev. inspection project no. 4-7005-12301.
9 of 9 AGM markers were recorded.",1
,1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to prev. inspection project no. 4-7005-12301.
Low pipe magnetization(&lt;10 kA/m) was observed during the run on 43.87% of pipeline
Calc. WT is between 12.0 mm and 13.0 mm, nom. WT from EOF is 11.62 mm. 
10 of 10 AGM markers were recorded.",0
,1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301
ODO slippages occurred during run. The initial recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
,1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
Recorded",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 1.302 m to set launcher first valve to zero.
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
Recorded",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
Since previous inspection some joints were replaced and receiver area was also modified.
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836, since previous inspection receiver area was modified.
15 of 15 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher first valve was set to zero.
10 of 10 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
Launcher tap between flanges was set to zero point (expected valve place).
Recorded",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
6 of 6 AGM markers were recorded.",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDG R2.
Combination of R1 and R2 is needed for data evaluation.
PEH sensor loss is 4.82 %. IRC sensor loss is 3.84 % (max. allowance for TCO is 3.0 %).
2 of 2 AGM markers recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap was set to zero point (expected valve place).
Combination of R1 and R2 is needed for data evaluation.
PEH sensor loss is 0.22 %. IRC sensor loss is 0.19 % (max. allowance for TCO is 3.0 %).
2 of 2 AGM markers recorded",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher first valve was set to zero.
Recorded",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap was set to zero point (expected valve place).
Pipe magnetization during run was out of spec. for 86.53% of pipeline, min. value is 7.5 kA/m, max. value is 11.13 kA/m, avg. value is 9.19 kA/m.
High deviation of calc. WT was observed (min. calc. WT is 21  mm, max. calc. WT is 29 mm).
2 of 2 AGM markers were recorded.",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDP1.
ODO slippages occurred during run. The initial recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096
ODO slippages occurred during run. The initial recorded",0
"Please see the conclusion of DPRE for a.m. run:
 
Launcher without valve (special construction).
Launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
8 of 8 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.
4 of 4 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap was set to zero point (expected valve place).
1 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap was set to zero point (expected valve place).
Recorded",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
1 of 1 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
5 of 5 AGM markers were recorded.",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 2.304  m to set launcher first valve to zero.
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
Calc. WT is between 15.50-16.50 mm. while Nom. WT from EOF is 17.48mm
2 of 2 AGM markers were recorded,",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to prev. inspection project no. 4-7005-11836, since previous inspection several joints were replaced.
Pipe magnetization during run was out of spec. for 9.35% of pipeline, min. value is 7.66 kA/m, max. value is 25.21 kA/m, avg. value is 18.19 kA/m.
Calc. WT is between 9.5 mm and 10.5 mm, nom. WT from EOF is 7.9 mm. 
4 of 4 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 2.614  m to set launcher first valve to zero.
4 of 4 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12069.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 0.068 m to set launcher first valve to zero.
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11651.
Launcher and receiver areas were modified. Distance system from previous inspection was shifted on 0.254 m to set launcher first valve to zero.
8 of 8 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096
5 of 5 AGM markers were recorded.",1
,1
,1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
Calc. WT is between 15.5-16.5 mm. while Nom. WT from EOF is 17.48mm
2 of 2 AGM markers were recorded,",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher installation is without valve (special construction).
The launcher tap between flanges was set to zero point (expected valve place).
Calc. WT is between 15.5-16.5 mm. while Nom. WT from EOF is 17.48mm
2 of 2 AGM markers were recorded,",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
4 of 4 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
Since previous inspection launcher and receiver areas were modified.
Since previous inspection installation areas on the pipeline were also modified
10 of 10 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDP R3.
Combination of R1, R2 and R3 is needed for data evaluation. 
Tool velocity was out of spec. for 57.37% of p/l length due to speed jumps during run, max. value is 8.2 m/s and avg. value is 3.23 m/s (max. allow tool velocity is 3m/s).
6 of 6 AGM markers were recorded.",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDP R3.
Combination of R1, R2 and R3 is needed for data evaluation. 
Tool velocity was out of spec. for 45.49% of p/l length due to speed jumps during run, max. value is 6.32 m/s and avg. value is 2.51 m/s (max. allow tool velocity is 3m/s).
6 of 6 AGM markers were recorded.",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301, since previous inspection several joints were replaced.
Combination of R1, R2 and R3 is needed for data evaluation. 
Tool velocity was out of spec. for 31.25% of p/l length due to speed jumps during run, max. value is 5.57 m/s and avg. value is 2.18 m/s (max. allow tool velocity is 3m/s).
6 of 6 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301
7 of 7 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12069
Distance system from previous inspection was shifted on 1.859 m to set launcher first valve to zero.
Launcher and receiver areas were modified.  
3 of 3 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Launcher first valve was set to zero.
Possible ODO slippages for full line length were observed due to high tool velocity fluctuations.
Recorded",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12301.
Receiver area was modified.
5 of 5 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
4 of 4 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096
10 of 10 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096, since previous inspection several joints were replaced.
8 of 8 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-11836.
Receiver area was modified.
2 of 2 AGM markers were recorded.",1
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to CDP R1.
A combination of R1 and R2 was requested for data evaluation. 
In R1 high fluctuations in pipe magnetization +/-10 kA/m were observed, which was decreased to +/-5 kA/m in R2, however, R2 shows a  lower pipe magnetization: 
Pipe magnetization during R2 was out of spec. for 21.52% of pipeline, min. value is 5.99 kA/m, max. value is 25.03 kA/m, avg. value is 14.32 kA/m.
4 of 4 AGM markers recorded.",0
"Please see the conclusion of DPRE for a.m. run:
 
Distance system was adapted to previous inspection project No. 4-7005-12096.
High fluctuations in magnetization +/-15 kA/m were observed, with corresponding noisy data, despite a stable tool speed of around 0.7 m/s.
The status of the DAT report is preliminary, thus, the quality of the data is to be confirmed by the evaluation department.
4 of 4 AGM markers were recorded.",0
